Polish ,Korean (human translations) - (Lara),Korean alternate (human translations) - Austin,Korean Formal (human translations),Korean Informal (human translations),"Korean Machine Translations (""model name"") - Sabina",Formality,Korean Machine Translations (OpenNMT) - Lara,Formality,Korean Machine Translations (Yandex.Translate) - Austin,Formality,English,Sentence Structure,Topic Type,Source (if applicable),,,,,
"Moim ulubionym koreańskim jedzeniem rozgrzewającym muszą być tteokbokki, te żujące ciastka ryżowe zanurzone w pikantnym sosie, który rozgrzewa od środka.","내가 가장 좋아하는 한식 소울푸드는 떡볶이야, 그 쫄깃한 떡에 매콤한 소스를 곁들여 속까지 따뜻하게 해준다.",,"내가 가장 좋아하는 한식 소울푸드는 떡볶이야, 그 쫄깃한 떡에 매콤한 소스를 곁들여 속까지 따뜻하게 해줍니다.","내가 가장 좋아하는 한식 소울푸드는 떡볶이야, 그 쫄깃한 떡에 매콤한 소스를 곁들여 속까지 따뜻하게 해준다.",내가 가장 좋아하는 한국 음식을 따뜻하게하는 것은 tteokbokki가 있어야합니다.이 끓는 쌀 케이크는 내부에서 따뜻하게하는 맛있는 소스에 뿌려져 있습니다.,Formal,Moim 좋아하는 한국 음식은 쌀을 먹는 사람들 tteokbokki이어야합니다.,Formal,내가 가장 좋아하는 한국 온난화 음식은 떡볶이 여야합니다.이 쫄깃한 떡은 매운 소스에 담가 내부에서 따뜻하게합니다.,Formal,"My favorite Korean comfort food has got to be tteokbokki, those chewy rice cakes smothered in a spicy sauce that just warms you from the inside out.",Compound,Food / Cuisine,ChatGPT,,,,,
"Nic nie przebije parującej miski samgyetang w chłodny dzień, wypełnionej miękkim kurczakiem, kleistym ryżem i bogatym, odżywczym bulionem. ","쌀쌀한 날에는 부드러운 닭고기와 찹쌀, 그리고 영양 가득한 국물이 가득한 따끈따끈한 삼계탕 한 그릇은 이길 수 없다.","쌀쌀한 날에는 부드러운 닭고기와 찹쌀, 그리고 영양 가득한 국물이 가득한 따끈따끈한 삼계탕 한 그릇이 이길 수 없다.","쌀쌀한 날에는 부드러운 닭고기와 찹쌀, 그리고 영양 가득한 국물이 가득한 따끈따끈한 삼계탕 한 그릇이 이길 수 없습니다.","쌀쌀한 날에는 부드러운 닭고기와 찹쌀, 그리고 영양 가득한 국물이 가득한 따끈따끈한 삼계탕 한 그릇이 이길 수 없다.","차가운 날에는 부드러운 닭고기, 부드러운 쌀과 풍부하고 영양이 풍부한 냄비로 가득 찬 냄비의 냄비는 아무것도 없을 것입니다.",Formal,"Nic은 부드러운 닭고기, kleist 쌀, 부유 한, 생활 불기로 채워진 찬 날에 Malegyetangs 쌍이 없습니다.",Formal,"추운 날에는 부드러운 닭고기,찹쌀,풍부하고 영양가있는 국물로 가득 찬 김이 나는 삼계탕 한 그릇을 능가하는 것은 없습니다.",Formal,"Nothing beats a steaming hot bowl of samgyetang on a chilly day, filled with tender chicken, glutinous rice, and a rich, nourishing broth.",Compound,Food / Cuisine,ChatGPT,,,,,
"Gdy mam ochotę na coś sycącego i rozgrzewającego, uwielbiam zrobić galbitang, sycącą wołowinę, która jest doprawiona sosem sojowym, czosnkiem i cebulą dymką, a gotowana przez godziny, aż staje się miękka i rozpada się.","나는 든든하고 따뜻한 것이 땡길때 간장, 마늘, 파로 맛을 낸 든든한 쇠고기 국물요리인 갈비탕을 만드는 것을 좋아하고 고기가 뼈에서 떨어질 정도로 부드러울때까지 몇 시간 동안 끓인다.",,"나는 든든하고 따뜻한 것이 땡길때 간장, 마늘, 파로 맛을 낸 든든한 쇠고기 국물요리인 갈비탕을 만드는 것을 좋아하고 고기가 뼈에서 떨어질 정도로 부드러울때까지 몇 시간 동안 끓입니다.","나는 든든하고 따뜻한 것이 땡길때 간장, 마늘, 파로 맛을 낸 든든한 쇠고기 국물요리인 갈비탕을 만드는 것을 좋아하고 고기가 뼈에서 떨어질 정도로 부드러울때까지 몇 시간 동안 끓인다.","뿌리고 따뜻한 무언가를 원할 때, 나는 소아 소스, 옥수수와 옥수수 흡연으로 끓여서 부드러워지고 부드러워질 때까지 몇 시간 동안 요리하는 갈비탄을 만드는 것을 좋아합니다.",Formal,"그녀는 따뜻하고 따뜻하게 무언가에 ochota가있을 때, 그녀는 galbitang, 남성 리드 가수를 만들기 위해 사랑, 좋은 soyce, 소년과 그녀가 mikka와 disintegrates 될 때까지 한 시간 동안 준비 여자.",Informal,"나는 만족스럽고 따뜻한 것을 갈망 할 때 간장,마늘,파로 맛을 낸 푸짐한 쇠고기 갈비탕을 요리하고 부드러워지고 무너질 때까지 몇 시간 동안 요리합니다.",Formal,"When I'm in the mood for something hearty and warming, I love to make galbitang, a hearty beef soup that's flavored with soy sauce, garlic, and scallions and simmered for hours until it's fall-apart tender.",Compound,Food / Cuisine,ChatGPT,,,,,
"Kotlet schabowy to polska klasyka, którą każdy zna i lubi.","돈까스는 모두가 알고 사랑하는 폴란드의 전통요리다. 
",,돈까스는 모두가 알고 사랑하는 폴란드의 전통요리입니다.,돈까스는 모두가 알고 사랑하는 폴란드의 전통요리다.,폴란드의 고전은 모두가 알고 좋아하는 고전입니다.,Formal,"schabowy Kotlet은 폴란드어 클래식, 모든 사람이 알고 ori.",Informal,돼지 갈비는 모두가 알고 사랑하는 폴란드 고전입니다.,Formal,Pork cutlet is a Polish classic that everyone knows and loves.,Compound,Food / Cuisine,ChatGPT,,,,,
"Bigos to potrawa, która zawsze kojarzy mi się z rodzinnymi spotkaniami i ciepłym domem.","비고스는 늘 가족모임과 따뜻한 가정이 생각나는 음식이다.
",,비고스는 늘 가족모임과 따뜻한 가정이 생각나는 음식입니다.,비고스는 늘 가족모임과 따뜻한 가정이 생각나는 음식이다.,Bigos는 항상 가족 만남과 따뜻한 집과 연결되어있는 음식입니다.,Formal,Bigos는 항상 가족 회의와 따뜻한 집을 만나는 trava입니다.,Formal,비고스는 제가 항상 가족 모임과 따뜻한 집과 연관시키는 요리입니다.,Formal,Bigos is a dish that always reminds me of family gatherings and a warm home.,Compound,Food / Cuisine,ChatGPT,,,,,
"Racuchy z jabłkami to pyszne, puszyste placuszki, które w Polsce często przygotowuje się na śniadanie lub podwieczorek.","사과 팬케이크는 폴란드에서 아침 식사나 애프터눈 티로 자주 준비되는 맛있고 폭신한 팬케이크이다.
",,사과 팬케이크는 폴란드에서 아침 식사나 애프터눈 티로 자주 준비되는 맛있고 폭신한 팬케이크입니다.,사과 팬케이크는 폴란드에서 아침 식사나 애프터눈 티로 자주 준비되는 맛있고 폭신한 팬케이크이다.,사과가있는 잔디는 폴란드에서 아침 식사 또는 저녁 식사를 위해 종종 준비되는 맛있는 푸른 잔디입니다.,Formal,"Racuchy z jabłkami 에 pyszne, puszyste squareuszki, 이는 종종 아침 식사 또는 저녁 식사를 준비.",Informal,사과를 곁들인 폴란드 갑각류는 맛있고 푹신한 팬케이크로 폴란드에서는 종종 아침 식사 또는 애프터눈 티로 준비됩니다.,Formal,"Apple pancakes are delicious, fluffy pancakes that are often prepared for breakfast or afternoon tea in Poland.",Compound,Food / Cuisine,ChatGPT,,,,,
"Moim ulubionym daniem amerykańskim jest makaron z serem, który stanowi pyszną kombinację sernego smaku i makaronu.",내가 제일 좋아하는 미국요리는 치즈와 면이 환상적인 궁합을 이루는 맥앤치즈다. ,,내가 제일 좋아하는 미국요리는 치즈와 면이 환상적인 궁합을 이루는 맥앤치즈입니다.,내가 제일 좋아하는 미국요리는 치즈와 면이 환상적인 궁합을 이루는 맥앤치즈다.,"내가 가장 좋아하는 미국 선물은 치즈 케이크이며, 그것은 치즈 맛과 케이크의 얇은 조합입니다.",Formal,Moim은 미국 마카론 (American makaron)입니다. 치즈와 마카로니의 강한 조합입니다.,Formal,내가 가장 좋아하는 미국 요리는 치즈 맛과 파스타의 맛있는 조합을 만드는 마카로니와 치즈입니다.,Formal,"My favorite American dish is macaroni and cheese, which is a delicious combination of cheesy goodness and noodles.",Compound,Food / Cuisine,ChatGPT,,,,,
"Jeśli szukasz słodkiego przysmaku, spróbuj amerykańskiego szarlotki, która jest ciepłą, kruchą skorupką wypełnioną słodkimi i kwaśnymi jabłkami.","달콤한 간식을 찾고 있다면 따뜻하고 바삭한 크러스트안에 새콤달콤한 사과가 있는 미국 애플 파이를 먹어봐. 
",,달콤한 간식을 찾고 있다면 따뜻하고 바삭한 크러스트안에 새콤달콤한 사과가 있는 미국 애플 파이를 먹어봐요.,달콤한 간식을 찾고 있다면 따뜻하고 바삭한 크러스트안에 새콤달콤한 사과가 있는 미국 애플 파이를 먹어봐.,"당신이 달콤한 향신료를 찾고 있다면, 달콤하고 산성 사과로 가득 찬 따뜻하고 부드러운 껍질을 가진 미국 샤르로트를 시도하십시오.",Formal,"달콤한 수프를 추구하는 경우, American greylotki는 따뜻하고 달콤한 사과로 채워집니다.",Formal,달콤한 간식을 찾고 있다면 달콤하고 신맛이 나는 사과로 가득 찬 따뜻하고 부서지기 쉬운 껍질인 아메리칸 애플 파이를 맛보십시오.,Formal,"If you're looking for a sweet treat, try an American apple pie, which is a warm, flaky crust filled with sweet and tangy apples.",Compound,Food / Cuisine,ChatGPT,,,,,
"Philly cheesesteak to kanapka pochodząca z Filadelfii, która jest przygotowywana z cienko pokrojonego mięsa wołowego, roztopionego sera i cebuli, wszystko podane na miękkiej bułce.","필리 치즈스테이크는 필라델피아에서 시작된 샌드위치로 얇게 썬 쇠고기, 녹인 치즈, 양파 모두 부드러운 롤에 올려 제공된다. ",,"필리 치즈스테이크는 필라델피아에서 시작된 샌드위치로 얇게 썬 쇠고기, 녹인 치즈, 양파 모두 부드러운 롤에 올려 제공됩니다.","필리 치즈스테이크는 필라델피아에서 시작된 샌드위치로 얇게 썬 쇠고기, 녹인 치즈, 양파 모두 부드러운 롤에 올려 제공된다.","필리 치즈 스테이크 (Philly cheesesteak)는 필라델피아 출신의 소파이며, 얇게 찢어진 양고기, 용해 된 치즈와 양파로 준비되며, 모두 부드러운 냄비에 주어집니다.",Formal,"Philly Cheesesteak은 필라델피아에서 Canapka이며, cienko-like meat, sabling heart 및 cebula와 함께 준비됩니다. 모두 부드러운 bułce 아래.",Informal,"필라델피아 치즈 스테이크는 필라델피아에서 만든 샌드위치로,얇게 썰어 만든 쇠고기,녹은 치즈,양파로 만든 샌드위치로,모두 부드러운 빵에 제공된다.",Informal,"The Philly cheesesteak is a sandwich that originated in Philadelphia and is made with thinly sliced beef, melted cheese, and onions, all served on a soft roll.",Compound,Food / Cuisine,ChatGPT,,,,,
Pieczona w panierce i głęboko smażona ryba z kawałkami frytek oraz puree z groszku to klasyczne angielskie danie.,피쉬 앤 칩스는 두툼한 칩과 부드러운 완두콩을 곁들인 튀긴 생선으로 구성된 전형적인 영국 요리이다.,"피쉬 앤 칩스는 영국의 대표적인 음식으로, 튀긴 생선과 두꺼운 감자튀김, 그리고 으깬 완두콩을 곁들여 제공합니다","피쉬 앤 칩스는 영국의 대표적인 음식으로, 튀긴 생선과 두꺼운 감자튀김, 그리고 으깬 완두콩을 곁들여 제공합니다","피쉬 앤 칩스는 영국의 대표적인 음식으로, 튀긴 생선과 두꺼운 감자튀김, 그리고 으깬 완두콩을 곁들여 제공합니다.",냄비에 끓인 물고기와 콩나물 조각과 콩나물 푸레는 고전적인 영국 요리입니다.,Formal,그녀는 팬더스에서 자랐고 머리의 머리카락과 순수한 유리가 고전적인 영어 구문 인 깊은 튀김 물고기.,Formal,감자 튀김과 으깬 완두콩 조각을 곁들인 빵가루 입힌 생선과 튀긴 생선은 고전적인 영국 요리입니다.,Formal,Fish and chips is a quintessential English dish that consists of battered and deep-fried fish served with chunky chips and a side of mushy peas.,Compound,Food / Cuisine,ChatGPT,,,,,
"Zawsze kiedy odwiedzam Londyn, staram się zjeść tradycyjne angielskie śniadanie, z jajkami, bekonem, kiełbasą i pieczonymi fasolkami.","나는 런던을 방문할 때마다 항상 계란, 베이컨, 소시지, 베이크트 빈즈가 포함된 전통적인 영국식 아침 식사를 꼭 먹는다.
",,"나는 런던을 방문할 때마다 항상 계란, 베이컨, 소시지, 베이크트 빈즈가 포함된 전통적인 영국식 아침 식사를 꼭 먹습니다.","나는 런던을 방문할 때마다 항상 계란, 베이컨, 소시지, 베이크트 빈즈가 포함된 전통적인 영국식 아침 식사를 꼭 먹는다.","내가 런던을 방문 할 때마다, 나는 달걀, 베콘, 케이블과 튀긴 콩과 함께 전통적인 영국 아침 식사를 먹으려고합니다.",Formal,"그녀는 정기적으로 런던을 방문, 그녀는 계란과 전통 영어 아침 식사를 먹고, bekonem, kiełbasa, 베이커리.",Formal,"런던을 방문 할 때마다 계란,베이컨,소시지,튀긴 콩으로 전통적인 영국식 아침 식사를하려고합니다.",Formal,"Whenever I visit London, I always make sure to have a traditional English breakfast, complete with eggs, bacon, sausage, and baked beans. ",Compound,Food / Cuisine,ChatGPT,,,,,
"Jednym z najbardziej kultowych angielskich deserów, moim zdaniem, jest klejący pudding toffi, czyli ciepłe ciasto biszkoptowe z sosem toffi.","내 생각에 가장 상징적인 영국식 디저트 중 하나는 토피 소스를 곁들인 따뜻한 스펀지 케이크인 스티키 토피 푸딩이다.
",,내 생각에 가장 상징적인 영국식 디저트 중 하나는 토피 소스를 곁들인 따뜻한 스펀지 케이크인 스티키 토피 푸딩입니다.,내 생각에 가장 상징적인 영국식 디저트 중 하나는 토피 소스를 곁들인 따뜻한 스펀지 케이크인 스티키 토피 푸딩이다.,"내가 생각하는 가장 숭배 영국 디저트 중 하나는 접착 푸딩 토피, 즉 토피 소스와 따뜻한 비스코프트 케이크입니다.",Formal,"영어 deser, moim zdaniem의 가장 cults 중 하나는 kleing pudding toffi, sosem toffi와 biszkoptowe의 따뜻함입니다.",Formal,제 생각에는 가장 상징적 인 영국 디저트 중 하나는 토피 소스를 곁들인 따뜻한 스폰지 케이크 인 끈적 끈적한 토피 푸딩입니다.,Formal,"One of the most iconic English desserts, in my opinion, is sticky toffee pudding, which is a warm sponge cake with toffee sauce.",Compound,Food / Cuisine,ChatGPT,,,,,
